162.159.198.1:443#麒麟优选 | 08-28 14:10 | BestCF.pages.dev
172.64.229.36:443#麒麟优选 | 电信 | 172.64.229.36 | 53.94ms | 60.95mb/s
104.18.137.82:443#麒麟优选 | 电信 | 104.18.137.82 | 157.46ms | 3.73mb/s
104.19.63.210:443#麒麟优选 | 电信 | 104.19.63.210 | 157.33ms | 2.32mb/s
104.19.116.122:443#麒麟优选 | 电信 | 104.19.116.122 | 157.39ms | 1.77mb/s
104.18.59.207:443#麒麟优选 | 电信 | 104.18.59.207 | 156.60ms | 1.18mb/s
104.19.43.203:443#麒麟优选 | 电信 | 104.19.43.203 | 157.91ms | 1.09mb/s
104.16.83.134:443#麒麟优选 | 电信 | 104.16.83.134 | 156.87ms | 0.59mb/s
104.16.152.200:443#麒麟优选 | 电信 | 104.16.152.200 | 158.00ms | 0.57mb/s
104.17.191.171:443#麒麟优选 | 电信 | 104.17.191.171 | 157.92ms | 0.54mb/s
104.19.100.150:443#麒麟优选 | 电信 | 104.19.100.150 | 156.96ms | 0.45mb/s
172.67.65.84:443#麒麟优选 | 联通 | 172.67.65.84 | 63.89ms | 12.91mb/s
104.20.31.31:443#麒麟优选 | 联通 | 104.20.31.31 | 64.55ms | 7.90mb/s
104.20.30.49:443#麒麟优选 | 联通 | 104.20.30.49 | 66.10ms | 7.72mb/s
104.20.17.237:443#麒麟优选 | 联通 | 104.20.17.237 | 65.69ms | 7.68mb/s
172.67.72.53:443#麒麟优选 | 联通 | 172.67.72.53 | 64.90ms | 7.50mb/s
172.67.73.205:443#麒麟优选 | 联通 | 172.67.73.205 | 65.39ms | 7.16mb/s
172.67.70.103:443#麒麟优选 | 联通 | 172.67.70.103 | 65.86ms | 6.17mb/s
172.67.66.209:443#麒麟优选 | 联通 | 172.67.66.209 | 65.91ms | 5.65mb/s
162.159.140.138:443#麒麟优选 | 联通 | 162.159.140.138 | 66.57ms | 4.51mb/s
162.159.152.35:443#麒麟优选 | 联通 | 162.159.152.35 | 67.08ms | 4.10mb/s
104.21.89.120:443#麒麟优选 | 移动 | 104.21.89.120 | 96.27ms | 15.52mb/s
104.21.92.140:443#麒麟优选 | 移动 | 104.21.92.140 | 99.14ms | 15.06mb/s
172.64.153.165:443#麒麟优选 | 移动 | 172.64.153.165 | 99.28ms | 14.56mb/s
104.25.255.127:443#麒麟优选 | 移动 | 104.25.255.127 | 99.64ms | 13.69mb/s
172.66.0.24:443#麒麟优选 | 移动 | 172.66.0.24 | 99.96ms | 12.30mb/s
172.66.1.48:443#麒麟优选 | 移动 | 172.66.1.48 | 95.28ms | 11.28mb/s
104.21.93.138:443#麒麟优选 | 移动 | 104.21.93.138 | 96.86ms | 11.10mb/s
172.64.146.94:443#麒麟优选 | 移动 | 172.64.146.94 | 98.12ms | 9.97mb/s
104.21.94.169:443#麒麟优选 | 移动 | 104.21.94.169 | 100.55ms | 9.64mb/s
104.21.91.134:443#麒麟优选 | 移动 | 104.21.91.134 | 98.21ms | 8.17mb/s
172.64.229.179:443#麒麟优选 | 多线 | 172.64.229.179 | 43.52ms | 14.29mb/s
104.18.44.111:443#麒麟优选 | 多线 | 104.18.44.111 | 76.82ms | 0.32mb/s
172.64.150.30:443#麒麟优选 | 多线 | 172.64.150.30 | 109.71ms | 0.29mb/s
104.18.35.45:443#麒麟优选 | 多线 | 104.18.35.45 | 110.13ms | 0.21mb/s
172.64.158.204:443#麒麟优选 | 多线 | 172.64.158.204 | 129.39ms | 0.20mb/s
172.64.148.233:443#麒麟优选 | 多线 | 172.64.148.233 | 95.87ms | 0.20mb/s
172.64.151.239:443#麒麟优选 | 多线 | 172.64.151.239 | 118.76ms | 0.19mb/s
104.18.32.124:443#麒麟优选 | 多线 | 104.18.32.124 | 77.47ms | 0.17mb/s
172.64.144.123:443#麒麟优选 | 多线 | 172.64.144.123 | 112.02ms | 0.15mb/s
104.18.47.60:443#麒麟优选 | 多线 | 104.18.47.60 | 89.49ms | 0.11mb/s
162.159.197.1:443#麒麟优选 | 分享免费优选网 BestCF.pages.dev
